ID	Coyote	Fox	Site	Block	Year	WolfPresent	EdgeDistance	Zone	Coyote:FoxRatio	Fox:CoyoteRatio	CoyotePrice	FoxPrice
764	6	37	Saskatch	N006	1983	Wolf	240.88	Wolf	0.21	4.78	47	43
765	11	30	Saskatch	N007	1983	Wolf	283.04	Wolf	0.25	3.97	47	43
766	5	98	Saskatch	N008	1983	Wolf	375.17	Wolf	0.03	31.52	47	43
767	12	105	Saskatch	N009	1983	Wolf	383.87	Wolf	0.08	12.90	47	43
768	4	86	Saskatch	N010	1983	Wolf	469.86	Wolf	0.04	27.94	47	43
769	31	63	Saskatch	N011	1983	Wolf	316.57	Wolf	0.27	3.67	47	43
770	26	21	Saskatch	N012	1983	Wolf	217.85	Wolf	0.67	1.49	47	43
771	52	15	Saskatch	N013	1983	Wolf	222.22	Wolf	1.09	0.92	47	43
772	63	104	Saskatch	N014	1983	Wolf	271.39	Wolf	0.58	1.71	47	43
773	66	47	Saskatch	N015	1983	Wolf	298.05	Wolf	0.59	1.69	47	43
774	23	150	Saskatch	N016	1983	Wolf	372.60	Wolf	0.11	9.01	47	43
775	20	85	Saskatch	N017	1983	Wolf	407.90	Wolf	0.12	8.68	47	43
776	9	69	Saskatch	N018	1983	Wolf	518.57	Wolf	0.09	10.66	47	43
777	13	74	Saskatch	N019	1983	Wolf	447.20	Wolf	0.11	9.47	47	43
778	17	18	Saskatch	N021	1983	Wolf	273.45	Wolf	0.53	1.88	47	43
779	0	0	Saskatch	N022	1983	Wolf	595.88	Wolf	0.04	26.50	47	43
780	4	34	Saskatch	N023	1983	Wolf	702.31	Wolf	0.10	10.26	47	43
781	0	18	Saskatch	N024	1983	Wolf	741.42	Wolf	na	na	47	43
782	1	20	Saskatch	N026	1983	Wolf	572.95	Wolf	0.09	11.50	47	43
783	51	18	Saskatch	N028	1983	Wolf	190.76	Transition	0.70	1.44	47	43
784	0	3	Saskatch	N031	1983	Wolf	243.65	Wolf	1.14	0.88	47	43
785	0	10	Saskatch	N032	1983	Wolf	277.91	Wolf	0.15	6.70	47	43
786	4	27	Saskatch	N033	1983	Wolf	325.92	Wolf	0.32	3.11	47	43
787	0	8	Saskatch	N034	1983	Wolf	308.95	Wolf	0.13	7.60	47	43
788	3	16	Saskatch	N035	1983	Wolf	237.73	Wolf	0.27	3.70	47	43
789	0	12	Saskatch	N050	1983	Wolf	725.41	Wolf	0.01	167.00	47	43
790	0	10	Saskatch	N057	1983	Wolf	613.92	Wolf	0.02	60.33	47	43
791	11	11	Saskatch	N066	1983	Wolf	240.73	Wolf	0.29	3.48	47	43
792	0	22	Saskatch	N068	1983	Wolf	520.28	Wolf	0.03	37.67	47	43
793	1	18	Saskatch	N071	1983	Wolf	288.48	Wolf	0.16	6.14	47	43
794	3	44	Saskatch	N074	1983	Wolf	360.77	Wolf	0.20	5.13	47	43
795	3	60	Saskatch	N078	1983	Wolf	436.02	Wolf	0.05	19.65	47	43
796	6	115	Saskatch	N079	1983	Wolf	352.06	Wolf	0.06	15.66	47	43
797	2	17	Saskatch	N080	1983	Wolf	638.78	Wolf	0.02	59.00	47	43
798	6	9	Saskatch	N086	1983	Wolf	215.76	Wolf	0.56	1.80	47	43
799	0	0	Saskatch	N090	1983	Wolf	163.41	Transition	0.36	2.81	47	43
800	0	19	Saskatch	N093	1983	Wolf	661.57	Wolf	0.00	278.50	47	43
801	51	19	Saskatch	P001	1983	Wolf	117.67	Transition	1.63	0.61	47	43
802	25	19	Saskatch	P002	1983	Wolf	103.05	Transition	2.57	0.39	47	43
803	16	34	Saskatch	P003	1983	Wolf	162.24	Transition	1.17	0.85	47	43
804	12	18	Saskatch	P004	1983	Wolf	196.95	Transition	0.45	2.20	47	43
805	17	8	Saskatch	P020	1983	NoWolf	235.86	NoWolf	1.47	0.68	47	43
806	34	0	Saskatch	P027	1983	Wolf	17.82	Transition	6.71	0.15	47	43
807	22	9	Saskatch	P029	1983	Wolf	136.34	Transition	2.45	0.41	47	43
808	7	12	Saskatch	P030	1983	Wolf	154.43	Transition	1.17	0.85	47	43
809	3	12	Saskatch	P036	1983	Wolf	148.26	Transition	0.32	3.13	47	43
810	25	9	Saskatch	P062	1983	Wolf	122.38	Transition	1.86	0.54	47	43
811	17	7	Saskatch	P063	1983	Wolf	129.18	Transition	1.36	0.73	47	43
812	15	12	Saskatch	P064	1983	Wolf	93.99	Transition	1.44	0.69	47	43
813	4	10	Saskatch	P065	1983	Wolf	198.53	Transition	0.71	1.41	47	43
814	17	16	Saskatch	P069	1983	Wolf	169.44	Transition	0.43	2.30	47	43
815	2	18	Saskatch	P072	1983	Wolf	142.77	Transition	0.56	1.79	47	43
816	3	6	Saskatch	P073	1983	Wolf	158.92	Transition	1.17	0.85	47	43
817	15	13	Saskatch	P085	1983	Wolf	68.02	Transition	1.32	0.76	47	43
818	11	14	Saskatch	P088	1983	Wolf	177.64	Transition	0.38	2.66	47	43
819	95	134	Saskatch	Z001	1983	NoWolf	347.73	NoWolf	3.54	0.28	47	43
820	320	188	Saskatch	Z002	1983	NoWolf	410.27	NoWolf	4.63	0.22	47	43
821	263	158	Saskatch	Z003	1983	NoWolf	445.70	NoWolf	6.92	0.14	47	43
822	132	78	Saskatch	Z004	1983	NoWolf	347.78	NoWolf	1.96	0.51	47	43
823	112	115	Saskatch	Z005	1983	NoWolf	329.51	NoWolf	3.68	0.27	47	43
824	424	354	Saskatch	Z006	1983	NoWolf	379.08	NoWolf	6.24	0.16	47	43
825	374	1193	Saskatch	Z007	1983	NoWolf	397.56	NoWolf	1.50	0.66	47	43
826	1034	1173	Saskatch	Z008	1983	NoWolf	329.21	NoWolf	1.46	0.68	47	43
827	764	960	Saskatch	Z009	1983	NoWolf	325.34	NoWolf	1.68	0.60	47	43
828	486	338	Saskatch	Z010	1983	NoWolf	287.31	NoWolf	2.40	0.42	47	43
829	205	104	Saskatch	Z011	1983	NoWolf	275.53	NoWolf	1.77	0.56	47	43
830	279	296	Saskatch	Z012	1983	NoWolf	254.38	NoWolf	1.68	0.60	47	43
831	824	781	Saskatch	Z013	1983	NoWolf	269.84	NoWolf	2.68	0.37	47	43
832	198	499	Saskatch	Z014	1983	NoWolf	241.27	NoWolf	2.80	0.36	47	43
833	150	206	Saskatch	Z015	1983	NoWolf	260.99	NoWolf	1.63	0.61	47	43
834	689	572	Saskatch	Z016	1983	NoWolf	200.19	NoWolf	1.16	0.87	47	43
835	297	155	Saskatch	Z017	1983	NoWolf	176.12	NoWolf	2.83	0.35	47	43
836	439	437	Saskatch	Z018	1983	NoWolf	259.53	NoWolf	2.10	0.48	47	43
837	949	434	Saskatch	Z019	1983	NoWolf	275.22	NoWolf	2.82	0.35	47	43
838	1094	924	Saskatch	Z021	1983	NoWolf	153.61	NoWolf	2.91	0.34	47	43
839	1885	601	Saskatch	Z022	1983	NoWolf	150.38	NoWolf	3.71	0.27	47	43
840	564	191	Saskatch	Z023	1983	NoWolf	197.45	NoWolf	3.01	0.33	47	43
841	30	22	Saskatch	Z024	1983	NoWolf	202.82	NoWolf	4.95	0.20	47	43
842	179	72	Saskatch	Z025	1983	NoWolf	194.38	NoWolf	2.53	0.40	47	43
843	2	10	Saskatch	Z026	1983	NoWolf	173.97	NoWolf	3.06	0.33	47	43
844	0	0	Saskatch	Z027	1983	NoWolf	116.47	NoWolf	1.78	0.56	47	43
845	84	84	Saskatch	Z028	1983	NoWolf	133.32	NoWolf	4.42	0.23	47	43
846	0	0	Saskatch	Z029	1983	NoWolf	141.90	NoWolf	3.29	0.30	47	43
847	681	322	Saskatch	Z030	1983	NoWolf	81.95	NoWolf	3.45	0.29	47	43
848	7	3	Saskatch	Z031	1983	NoWolf	198.93	NoWolf	2.03	0.49	47	43
849	580	122	Saskatch	Z032	1983	NoWolf	159.44	NoWolf	2.67	0.38	47	43
850	292	51	Saskatch	Z033	1983	NoWolf	152.09	NoWolf	3.96	0.25	47	43
851	0	0	Saskatch	Z034	1983	NoWolf	109.11	NoWolf	4.62	0.22	47	43
852	0	0	Saskatch	Z035	1983	NoWolf	64.72	NoWolf	5.12	0.20	47	43
853	0	0	Saskatch	Z036	1983	NoWolf	138.51	NoWolf	3.23	0.31	47	43
854	0	0	Saskatch	Z037	1983	NoWolf	50.16	NoWolf	3.49	0.29	47	43
855	0	0	Saskatch	Z038	1983	NoWolf	140.06	NoWolf	3.12	0.32	47	43
856	0	0	Saskatch	Z039	1983	NoWolf	81.83	NoWolf	4.19	0.24	47	43
857	0	0	Saskatch	Z040	1983	NoWolf	52.17	NoWolf	3.36	0.30	47	43
858	0	0	Saskatch	Z041	1983	NoWolf	61.13	NoWolf	2.77	0.36	47	43
859	0	0	Saskatch	Z042	1983	Wolf	2.67	Transition	3.62	0.28	47	43
860	0	0	Saskatch	Z043	1983	Wolf	50.71	Transition	2.45	0.41	47	43
861	0	0	Saskatch	Z044	1983	NoWolf	46.63	NoWolf	3.69	0.27	47	43
862	0	0	Saskatch	Z045	1983	NoWolf	48.41	NoWolf	5.71	0.18	47	43
863	0	0	Saskatch	Z046	1983	NoWolf	75.22	NoWolf	7.59	0.13	47	43
864	0	0	Saskatch	Z047	1983	Wolf	12.86	Transition	7.60	0.13	47	43
865	0	0	Saskatch	Z048	1983	NoWolf	12.16	NoWolf	4.62	0.22	47	43
866	0	0	Saskatch	Z049	1983	Wolf	59.29	Transition	4.58	0.22	47	43
867	0	0	Saskatch	Z050	1983	Wolf	87.51	Transition	2.18	0.46	47	43
868	0	0	Saskatch	Z051	1983	Wolf	50.89	Transition	2.51	0.40	47	43
869	0	0	Saskatch	Z052	1983	Wolf	7.87	Transition	4.13	0.24	47	43
870	0	0	Saskatch	Z053	1983	Wolf	60.14	Transition	4.17	0.24	47	43
871	0	0	Saskatch	Z054	1983	Wolf	6.73	Transition	4.45	0.22	47	43
872	0	0	Saskatch	Z055	1983	Wolf	106.35	Transition	6.60	0.15	47	43
873	9	1	Saskatch	A111	1984	NoWolf	7.68	NoWolf	2.44	0.41	58	36
874	44	27	Saskatch	H025	1984	Wolf	97.15	Transition	2.81	0.36	58	36
875	8	6	Saskatch	H044	1984	Wolf	76.85	Transition	1.50	0.67	58	36
876	7	4	Saskatch	H075	1984	Wolf	123.44	Transition	0.91	1.10	58	36
877	17	2	Saskatch	H100	1984	Wolf	58.67	Transition	2.04	0.49	58	36
878	32	19	Saskatch	H101	1984	Wolf	107.96	Transition	2.89	0.35	58	36
879	49	3	Saskatch	H102	1984	Wolf	12.51	Transition	6.11	0.16	58	36
880	12	6	Saskatch	H103	1984	Wolf	24.20	Transition	4.97	0.20	58	36
881	0	0	Saskatch	H104	1984	Wolf	3.26	Transition	10.11	0.10	58	36
882	11	1	Saskatch	H105	1984	Wolf	60.18	Transition	3.98	0.25	58	36
883	11	6	Saskatch	H106	1984	Wolf	11.64	Transition	4.12	0.24	58	36
884	13	1	Saskatch	H110	1984	Wolf	35.90	Transition	2.17	0.46	58	36
885	16	9	Saskatch	M037	1984	Wolf	158.25	Transition	2.14	0.47	58	36
886	42	17	Saskatch	M038	1984	Wolf	145.85	Transition	2.69	0.37	58	36
887	19	10	Saskatch	M041	1984	Wolf	75.67	Transition	3.29	0.30	58	36
888	30	9	Saskatch	M047	1984	Wolf	59.77	Transition	10.08	0.10	58	36
889	29	11	Saskatch	M049	1984	Wolf	63.33	Transition	3.88	0.26	58	36
890	6	1	Saskatch	M052	1984	Wolf	115.80	Transition	5.61	0.18	58	36
891	25	35	Saskatch	M053	1984	Wolf	141.60	Transition	1.50	0.66	58	36
892	36	2	Saskatch	M054	1984	Wolf	60.48	Transition	9.08	0.11	58	36
893	6	5	Saskatch	M055	1984	Wolf	53.30	Transition	8.32	0.12	58	36
894	24	3	Saskatch	M056	1984	Wolf	63.99	Transition	4.92	0.20	58	36
895	13	7	Saskatch	M058	1984	Wolf	89.70	Transition	9.03	0.11	58	36
896	13	1	Saskatch	M060	1984	Wolf	85.15	Transition	2.38	0.42	58	36
897	11	4	Saskatch	M081	1984	Wolf	83.75	Transition	7.11	0.14	58	36
898	95	32	Saskatch	M38B	1984	Wolf	135.98	Transition	3.52	0.28	58	36
899	12	37	Saskatch	N005	1984	Wolf	246.92	Wolf	0.36	2.81	58	36
900	11	29	Saskatch	N006	1984	Wolf	240.88	Wolf	0.21	4.78	58	36
901	12	24	Saskatch	N007	1984	Wolf	283.04	Wolf	0.25	3.97	58	36
902	8	82	Saskatch	N008	1984	Wolf	375.17	Wolf	0.03	31.52	58	36
903	10	111	Saskatch	N009	1984	Wolf	383.87	Wolf	0.08	12.90	58	36
904	1	83	Saskatch	N010	1984	Wolf	469.86	Wolf	0.04	27.94	58	36
905	24	43	Saskatch	N011	1984	Wolf	316.57	Wolf	0.27	3.67	58	36
906	13	14	Saskatch	N012	1984	Wolf	217.85	Wolf	0.67	1.49	58	36
907	28	24	Saskatch	N013	1984	Wolf	222.22	Wolf	1.09	0.92	58	36
908	54	69	Saskatch	N014	1984	Wolf	271.39	Wolf	0.58	1.71	58	36
909	41	61	Saskatch	N015	1984	Wolf	298.05	Wolf	0.59	1.69	58	36
910	16	134	Saskatch	N016	1984	Wolf	372.60	Wolf	0.11	9.01	58	36
911	12	62	Saskatch	N017	1984	Wolf	407.90	Wolf	0.12	8.68	58	36
912	3	111	Saskatch	N018	1984	Wolf	518.57	Wolf	0.09	10.66	58	36
913	13	99	Saskatch	N019	1984	Wolf	447.20	Wolf	0.11	9.47	58	36
914	12	27	Saskatch	N021	1984	Wolf	273.45	Wolf	0.53	1.88	58	36
915	0	4	Saskatch	N022	1984	Wolf	595.88	Wolf	0.04	26.50	58	36
916	4	9	Saskatch	N023	1984	Wolf	702.31	Wolf	0.10	10.26	58	36
917	0	36	Saskatch	N024	1984	Wolf	741.42	Wolf	na	na	58	36
918	0	38	Saskatch	N026	1984	Wolf	572.95	Wolf	0.09	11.50	58	36
919	22	21	Saskatch	N028	1984	Wolf	190.76	Transition	0.70	1.44	58	36
920	1	2	Saskatch	N031	1984	Wolf	243.65	Wolf	1.14	0.88	58	36
921	4	13	Saskatch	N032	1984	Wolf	277.91	Wolf	0.15	6.70	58	36
922	2	32	Saskatch	N033	1984	Wolf	325.92	Wolf	0.32	3.11	58	36
923	0	1	Saskatch	N034	1984	Wolf	308.95	Wolf	0.13	7.60	58	36
924	16	17	Saskatch	N035	1984	Wolf	237.73	Wolf	0.27	3.70	58	36
925	0	26	Saskatch	N050	1984	Wolf	725.41	Wolf	0.01	167.00	58	36
926	1	26	Saskatch	N057	1984	Wolf	613.92	Wolf	0.02	60.33	58	36
927	4	15	Saskatch	N066	1984	Wolf	240.73	Wolf	0.29	3.48	58	36
928	0	19	Saskatch	N068	1984	Wolf	520.28	Wolf	0.03	37.67	58	36
929	1	8	Saskatch	N071	1984	Wolf	288.48	Wolf	0.16	6.14	58	36
930	4	34	Saskatch	N074	1984	Wolf	360.77	Wolf	0.20	5.13	58	36
931	3	102	Saskatch	N078	1984	Wolf	436.02	Wolf	0.05	19.65	58	36
932	6	63	Saskatch	N079	1984	Wolf	352.06	Wolf	0.06	15.66	58	36
933	1	67	Saskatch	N080	1984	Wolf	638.78	Wolf	0.02	59.00	58	36
934	0	4	Saskatch	N086	1984	Wolf	215.76	Wolf	0.56	1.80	58	36
935	0	0	Saskatch	N090	1984	Wolf	163.41	Transition	0.36	2.81	58	36
936	0	54	Saskatch	N093	1984	Wolf	661.57	Wolf	0.00	278.50	58	36
937	18	11	Saskatch	P001	1984	Wolf	117.67	Transition	1.63	0.61	58	36
938	15	6	Saskatch	P002	1984	Wolf	103.05	Transition	2.57	0.39	58	36
939	7	18	Saskatch	P003	1984	Wolf	162.24	Transition	1.17	0.85	58	36
940	16	16	Saskatch	P004	1984	Wolf	196.95	Transition	0.45	2.20	58	36
941	17	6	Saskatch	P020	1984	NoWolf	235.86	NoWolf	1.47	0.68	58	36
942	20	3	Saskatch	P027	1984	Wolf	17.82	Transition	6.71	0.15	58	36
943	16	5	Saskatch	P029	1984	Wolf	136.34	Transition	2.45	0.41	58	36
944	21	19	Saskatch	P030	1984	Wolf	154.43	Transition	1.17	0.85	58	36
945	5	14	Saskatch	P036	1984	Wolf	148.26	Transition	0.32	3.13	58	36
946	10	4	Saskatch	P062	1984	Wolf	122.38	Transition	1.86	0.54	58	36
947	3	3	Saskatch	P063	1984	Wolf	129.18	Transition	1.36	0.73	58	36
948	7	3	Saskatch	P064	1984	Wolf	93.99	Transition	1.44	0.69	58	36
949	5	2	Saskatch	P065	1984	Wolf	198.53	Transition	0.71	1.41	58	36
950	12	21	Saskatch	P069	1984	Wolf	169.44	Transition	0.43	2.30	58	36
951	5	5	Saskatch	P072	1984	Wolf	142.77	Transition	0.56	1.79	58	36
952	14	9	Saskatch	P073	1984	Wolf	158.92	Transition	1.17	0.85	58	36
953	16	6	Saskatch	P085	1984	Wolf	68.02	Transition	1.32	0.76	58	36
954	12	8	Saskatch	P088	1984	Wolf	177.64	Transition	0.38	2.66	58	36
955	332	479	Saskatch	Z001	1984	NoWolf	347.73	NoWolf	3.54	0.28	58	36
956	393	353	Saskatch	Z002	1984	NoWolf	410.27	NoWolf	4.63	0.22	58	36
957	139	36	Saskatch	Z003	1984	NoWolf	445.70	NoWolf	6.92	0.14	58	36
958	273	547	Saskatch	Z004	1984	NoWolf	347.78	NoWolf	1.96	0.51	58	36
959	582	472	Saskatch	Z005	1984	NoWolf	329.51	NoWolf	3.68	0.27	58	36
960	121	43	Saskatch	Z006	1984	NoWolf	379.08	NoWolf	6.24	0.16	58	36
961	187	57	Saskatch	Z007	1984	NoWolf	397.56	NoWolf	1.50	0.66	58	36
962	155	58	Saskatch	Z008	1984	NoWolf	329.21	NoWolf	1.46	0.68	58	36
963	52	80	Saskatch	Z009	1984	NoWolf	325.34	NoWolf	1.68	0.60	58	36
964	123	250	Saskatch	Z010	1984	NoWolf	287.31	NoWolf	2.40	0.42	58	36
965	48	105	Saskatch	Z011	1984	NoWolf	275.53	NoWolf	1.77	0.56	58	36
966	2	8	Saskatch	Z012	1984	NoWolf	254.38	NoWolf	1.68	0.60	58	36
967	299	229	Saskatch	Z013	1984	NoWolf	269.84	NoWolf	2.68	0.37	58	36
968	291	280	Saskatch	Z014	1984	NoWolf	241.27	NoWolf	2.80	0.36	58	36
969	380	808	Saskatch	Z015	1984	NoWolf	260.99	NoWolf	1.63	0.61	58	36
970	261	622	Saskatch	Z016	1984	NoWolf	200.19	NoWolf	1.16	0.87	58	36
971	359	303	Saskatch	Z017	1984	NoWolf	176.12	NoWolf	2.83	0.35	58	36
972	329	508	Saskatch	Z018	1984	NoWolf	259.53	NoWolf	2.10	0.48	58	36
973	795	453	Saskatch	Z019	1984	NoWolf	275.22	NoWolf	2.82	0.35	58	36
974	1052	470	Saskatch	Z021	1984	NoWolf	153.61	NoWolf	2.91	0.34	58	36
975	286	94	Saskatch	Z022	1984	NoWolf	150.38	NoWolf	3.71	0.27	58	36
976	392	328	Saskatch	Z023	1984	NoWolf	197.45	NoWolf	3.01	0.33	58	36
977	255	229	Saskatch	Z024	1984	NoWolf	202.82	NoWolf	4.95	0.20	58	36
978	251	619	Saskatch	Z025	1984	NoWolf	194.38	NoWolf	2.53	0.40	58	36
979	305	269	Saskatch	Z026	1984	NoWolf	173.97	NoWolf	3.06	0.33	58	36
980	275	314	Saskatch	Z027	1984	NoWolf	116.47	NoWolf	1.78	0.56	58	36
981	95	49	Saskatch	Z028	1984	NoWolf	133.32	NoWolf	4.42	0.23	58	36
982	748	449	Saskatch	Z029	1984	NoWolf	141.90	NoWolf	3.29	0.30	58	36
983	720	554	Saskatch	Z030	1984	NoWolf	81.95	NoWolf	3.45	0.29	58	36
984	76	173	Saskatch	Z031	1984	NoWolf	198.93	NoWolf	2.03	0.49	58	36
985	434	279	Saskatch	Z032	1984	NoWolf	159.44	NoWolf	2.67	0.38	58	36
986	519	191	Saskatch	Z033	1984	NoWolf	152.09	NoWolf	3.96	0.25	58	36
987	1022	161	Saskatch	Z034	1984	NoWolf	109.11	NoWolf	4.62	0.22	58	36
988	364	66	Saskatch	Z035	1984	NoWolf	64.72	NoWolf	5.12	0.20	58	36
989	700	279	Saskatch	Z036	1984	NoWolf	138.51	NoWolf	3.23	0.31	58	36
990	1330	751	Saskatch	Z037	1984	NoWolf	50.16	NoWolf	3.49	0.29	58	36
991	872	428	Saskatch	Z038	1984	NoWolf	140.06	NoWolf	3.12	0.32	58	36
992	1101	336	Saskatch	Z039	1984	NoWolf	81.83	NoWolf	4.19	0.24	58	36
993	345	201	Saskatch	Z040	1984	NoWolf	52.17	NoWolf	3.36	0.30	58	36
994	869	606	Saskatch	Z041	1984	NoWolf	61.13	NoWolf	2.77	0.36	58	36
995	523	273	Saskatch	Z042	1984	Wolf	2.67	Transition	3.62	0.28	58	36
996	531	389	Saskatch	Z043	1984	Wolf	50.71	Transition	2.45	0.41	58	36
997	602	166	Saskatch	Z044	1984	NoWolf	46.63	NoWolf	3.69	0.27	58	36
998	741	291	Saskatch	Z045	1984	NoWolf	48.41	NoWolf	5.71	0.18	58	36
999	930	171	Saskatch	Z046	1984	NoWolf	75.22	NoWolf	7.59	0.13	58	36
1000	556	131	Saskatch	Z047	1984	Wolf	12.86	Transition	7.60	0.13	58	36
1001	196	140	Saskatch	Z048	1984	NoWolf	12.16	NoWolf	4.62	0.22	58	36
1002	73	37	Saskatch	Z049	1984	Wolf	59.29	Transition	4.58	0.22	58	36
1003	130	85	Saskatch	Z050	1984	Wolf	87.51	Transition	2.18	0.46	58	36
1004	286	242	Saskatch	Z051	1984	Wolf	50.89	Transition	2.51	0.40	58	36
1005	143	114	Saskatch	Z052	1984	Wolf	7.87	Transition	4.13	0.24	58	36
1006	64	50	Saskatch	Z053	1984	Wolf	60.14	Transition	4.17	0.24	58	36
1007	430	209	Saskatch	Z054	1984	Wolf	6.73	Transition	4.45	0.22	58	36
1008	601	133	Saskatch	Z055	1984	Wolf	106.35	Transition	6.60	0.15	58	36
1009	19	4	Saskatch	A111	1985	NoWolf	7.68	NoWolf	2.44	0.41	59	29
1010	16	16	Saskatch	H025	1985	Wolf	97.15	Transition	2.81	0.36	59	29
1011	7	1	Saskatch	H044	1985	Wolf	76.85	Transition	1.50	0.67	59	29
1012	5	1	Saskatch	H075	1985	Wolf	123.44	Transition	0.91	1.10	59	29
1013	3	1	Saskatch	H100	1985	Wolf	58.67	Transition	2.04	0.49	59	29
1014	10	5	Saskatch	H101	1985	Wolf	107.96	Transition	2.89	0.35	59	29
1015	47	0	Saskatch	H102	1985	Wolf	12.51	Transition	6.11	0.16	59	29
1016	19	7	Saskatch	H103	1985	Wolf	24.20	Transition	4.97	0.20	59	29
1017	15	1	Saskatch	H104	1985	Wolf	3.26	Transition	10.11	0.10	59	29
1018	3	0	Saskatch	H105	1985	Wolf	60.18	Transition	3.98	0.25	59	29
1019	24	2	Saskatch	H106	1985	Wolf	11.64	Transition	4.12	0.24	59	29
1020	10	0	Saskatch	H110	1985	Wolf	35.90	Transition	2.17	0.46	59	29
1021	18	8	Saskatch	M037	1985	Wolf	158.25	Transition	2.14	0.47	59	29
1022	18	10	Saskatch	M038	1985	Wolf	145.85	Transition	2.69	0.37	59	29
1023	7	0	Saskatch	M041	1985	Wolf	75.67	Transition	3.29	0.30	59	29
1024	21	12	Saskatch	M047	1985	Wolf	59.77	Transition	10.08	0.10	59	29
1025	40	11	Saskatch	M049	1985	Wolf	63.33	Transition	3.88	0.26	59	29
1026	3	1	Saskatch	M052	1985	Wolf	115.80	Transition	5.61	0.18	59	29
1027	30	18	Saskatch	M053	1985	Wolf	141.60	Transition	1.50	0.66	59	29
1028	26	5	Saskatch	M054	1985	Wolf	60.48	Transition	9.08	0.11	59	29
1029	16	2	Saskatch	M055	1985	Wolf	53.30	Transition	8.32	0.12	59	29
1030	6	2	Saskatch	M056	1985	Wolf	63.99	Transition	4.92	0.20	59	29
1031	7	0	Saskatch	M058	1985	Wolf	89.70	Transition	9.03	0.11	59	29
1032	5	4	Saskatch	M060	1985	Wolf	85.15	Transition	2.38	0.42	59	29
1033	28	4	Saskatch	M081	1985	Wolf	83.75	Transition	7.11	0.14	59	29
1034	54	11	Saskatch	M38B	1985	Wolf	135.98	Transition	3.52	0.28	59	29
1035	7	17	Saskatch	N005	1985	Wolf	246.92	Wolf	0.36	2.81	59	29
1036	3	22	Saskatch	N006	1985	Wolf	240.88	Wolf	0.21	4.78	59	29
1037	7	39	Saskatch	N007	1985	Wolf	283.04	Wolf	0.25	3.97	59	29
1038	8	94	Saskatch	N008	1985	Wolf	375.17	Wolf	0.03	31.52	59	29
1039	2	149	Saskatch	N009	1985	Wolf	383.87	Wolf	0.08	12.90	59	29
1040	6	123	Saskatch	N010	1985	Wolf	469.86	Wolf	0.04	27.94	59	29
1041	25	58	Saskatch	N011	1985	Wolf	316.57	Wolf	0.27	3.67	59	29
1042	13	15	Saskatch	N012	1985	Wolf	217.85	Wolf	0.67	1.49	59	29
1043	20	7	Saskatch	N013	1985	Wolf	222.22	Wolf	1.09	0.92	59	29
1044	43	47	Saskatch	N014	1985	Wolf	271.39	Wolf	0.58	1.71	59	29
1045	30	38	Saskatch	N015	1985	Wolf	298.05	Wolf	0.59	1.69	59	29
1046	15	172	Saskatch	N016	1985	Wolf	372.60	Wolf	0.11	9.01	59	29
1047	1	83	Saskatch	N017	1985	Wolf	407.90	Wolf	0.12	8.68	59	29
1048	3	60	Saskatch	N018	1985	Wolf	518.57	Wolf	0.09	10.66	59	29
1049	9	65	Saskatch	N019	1985	Wolf	447.20	Wolf	0.11	9.47	59	29
1050	14	16	Saskatch	N021	1985	Wolf	273.45	Wolf	0.53	1.88	59	29
1051	0	1	Saskatch	N022	1985	Wolf	595.88	Wolf	0.04	26.50	59	29
1052	0	38	Saskatch	N023	1985	Wolf	702.31	Wolf	0.10	10.26	59	29
1053	0	42	Saskatch	N024	1985	Wolf	741.42	Wolf	na	na	59	29
1054	0	26	Saskatch	N026	1985	Wolf	572.95	Wolf	0.09	11.50	59	29
1055	25	18	Saskatch	N028	1985	Wolf	190.76	Transition	0.70	1.44	59	29
1056	0	5	Saskatch	N031	1985	Wolf	243.65	Wolf	1.14	0.88	59	29
1057	2	12	Saskatch	N032	1985	Wolf	277.91	Wolf	0.15	6.70	59	29
1058	0	37	Saskatch	N033	1985	Wolf	325.92	Wolf	0.32	3.11	59	29
1059	0	2	Saskatch	N034	1985	Wolf	308.95	Wolf	0.13	7.60	59	29
1060	2	16	Saskatch	N035	1985	Wolf	237.73	Wolf	0.27	3.70	59	29
1061	0	19	Saskatch	N050	1985	Wolf	725.41	Wolf	0.01	167.00	59	29
1062	1	28	Saskatch	N057	1985	Wolf	613.92	Wolf	0.02	60.33	59	29
1063	3	10	Saskatch	N066	1985	Wolf	240.73	Wolf	0.29	3.48	59	29
1064	1	19	Saskatch	N068	1985	Wolf	520.28	Wolf	0.03	37.67	59	29
1065	0	21	Saskatch	N071	1985	Wolf	288.48	Wolf	0.16	6.14	59	29
1066	1	68	Saskatch	N074	1985	Wolf	360.77	Wolf	0.20	5.13	59	29
1067	0	90	Saskatch	N078	1985	Wolf	436.02	Wolf	0.05	19.65	59	29
1068	1	57	Saskatch	N079	1985	Wolf	352.06	Wolf	0.06	15.66	59	29
1069	0	22	Saskatch	N080	1985	Wolf	638.78	Wolf	0.02	59.00	59	29
1070	6	11	Saskatch	N086	1985	Wolf	215.76	Wolf	0.56	1.80	59	29
1071	0	0	Saskatch	N090	1985	Wolf	163.41	Transition	0.36	2.81	59	29
1072	0	25	Saskatch	N093	1985	Wolf	661.57	Wolf	0.00	278.50	59	29
1073	38	12	Saskatch	P001	1985	Wolf	117.67	Transition	1.63	0.61	59	29
